reps,gt_mean_ns,gt_std_ns,gt_min_ns,gt_max_ns,gt_per_iter_ns,gt_tick_min_ns,gt_tick_mode_ns,gt_tick_gcd_ns,clk_mean_cycles,clk_std_cycles,clk_min_cycles,clk_max_cycles,clk_per_iter_cycles,clk_per_iter_ns_at_GHz,clk_tick_min_cycles
106,256.0,0.0,256,256,2.4150943396226414,32,32,32,426.0,0.0,426,426,4.018867924528302,2.3921832884097034,7
107,256.0,0.0,256,256,2.392523364485981,32,32,32,430.0,0.0,430,430,4.018691588785047,2.392078326657766,7
108,256.0,0.0,256,256,2.3703703703703702,32,32,32,434.0,0.0,434,434,4.018518518518518,2.391975308641975,7
109,256.0,0.0,256,256,2.3486238532110093,32,32,32,438.0,0.0,438,438,4.018348623853211,2.3918741808650066,7
110,256.0,0.0,256,256,2.327272727272727,32,32,32,442.0,0.0,442,442,4.0181818181818185,2.391774891774892,7
111,288.0,0.0,288,288,2.5945945945945947,32,32,32,446.0,0.0,446,446,4.018018018018018,2.3916773916773915,7
112,256.0,0.0,256,256,2.2857142857142856,32,32,32,450.0,0.0,450,450,4.017857142857143,2.3915816326530615,7
113,288.0,0.0,288,288,2.5486725663716814,32,32,32,454.0,0.0,454,454,4.017699115044247,2.3914875684787185,7
114,256.0,0.0,256,256,2.245614035087719,32,32,32,458.0,0.0,458,458,4.017543859649122,2.391395154553049,7
115,288.0,0.0,288,288,2.5043478260869567,32,32,32,462.0,0.0,462,462,4.017391304347826,2.391304347826087,7
116,288.0,0.0,288,288,2.4827586206896552,32,32,32,466.0,0.0,466,466,4.017241379310345,2.391215106732348,7
117,256.0,0.0,256,256,2.1880341880341883,32,32,32,470.0,0.0,470,470,4.017094017094017,2.391127391127391,7
118,288.0,0.0,288,288,2.440677966101695,32,32,32,474.0,0.0,474,474,4.016949152542373,2.391041162227603,7
119,288.0,0.0,288,288,2.4201680672268906,32,32,32,478.0,0.0,478,478,4.016806722689076,2.3909563825530213,7
120,288.0,0.0,288,288,2.4,32,32,32,482.0,0.0,482,482,4.016666666666667,2.390873015873016,7
121,288.0,0.0,288,288,2.3801652892561984,32,32,32,486.0,0.0,486,486,4.016528925619835,2.3907910271546635,7
122,288.0,0.0,288,288,2.360655737704918,32,32,32,490.0,0.0,490,490,4.016393442622951,2.390710382513661,7
123,320.0,0.0,320,320,2.6016260162601625,32,32,32,494.0,0.0,494,494,4.016260162601626,2.390631049167635,7
124,320.0,0.0,320,320,2.5806451612903225,32,32,32,498.0,0.0,498,498,4.016129032258065,2.3905529953917055,7
