reps,gt_mean_ns,gt_std_ns,gt_min_ns,gt_max_ns,gt_per_iter_ns,gt_tick_min_ns,gt_tick_mode_ns,gt_tick_gcd_ns,clk_mean_cycles,clk_std_cycles,clk_min_cycles,clk_max_cycles,clk_per_iter_cycles,clk_per_iter_ns_at_GHz,clk_tick_min_cycles
153,352.0,0.0,352,352,2.3006535947712417,32,32,32,618.0,0.0,618,618,4.03921568627451,2.404295051353875,7
154,384.0,0.0,384,384,2.4935064935064934,32,32,32,622.0,0.0,622,622,4.038961038961039,2.404143475572047,7
155,384.0,0.0,384,384,2.47741935483871,32,32,32,626.0,0.0,626,626,4.038709677419355,2.403993855606759,7
156,384.0,0.0,384,384,2.4615384615384617,32,32,32,630.0,0.0,630,630,4.038461538461538,2.4038461538461537,7
157,384.0,0.0,384,384,2.445859872611465,32,32,32,634.0,0.0,634,634,4.038216560509555,2.40370033363664,7
158,384.0,0.0,384,384,2.430379746835443,32,32,32,638.0,0.0,638,638,4.037974683544304,2.403556359252562,7
159,384.0,0.0,384,384,2.4150943396226414,32,32,32,642.0,0.0,642,642,4.037735849056604,2.4034141958670263,7
160,384.0,0.0,384,384,2.4,32,32,32,646.0,0.0,646,646,4.0375,2.4032738095238093,7
161,416.0,0.0,416,416,2.5838509316770186,32,32,32,650.0,0.0,650,650,4.037267080745342,2.4031351671103227,7
162,384.0,0.0,384,384,2.3703703703703702,32,32,32,654.0,0.0,654,654,4.037037037037037,2.4029982363315696,7
163,384.0,0.0,384,384,2.355828220858896,32,32,32,658.0,0.0,658,658,4.03680981595092,2.4028629856850716,7
164,416.0,0.0,416,416,2.5365853658536586,32,32,32,662.0,0.0,662,662,4.036585365853658,2.402729384436701,7
165,384.0,0.0,384,384,2.327272727272727,32,32,32,666.0,0.0,666,666,4.036363636363636,2.4025974025974026,7
166,384.0,0.0,384,384,2.3132530120481927,32,32,32,670.0,0.0,670,670,4.036144578313253,2.4024670109007458,7
167,384.0,0.0,384,384,2.2994011976047903,32,32,32,674.0,0.0,674,674,4.0359281437125745,2.4023381807812942,7
168,416.0,0.0,416,416,2.4761904761904763,32,32,32,678.0,0.0,678,678,4.035714285714286,2.4022108843537415,7
169,416.0,0.0,416,416,2.4615384615384617,32,32,32,682.0,0.0,682,682,4.035502958579881,2.4020850943927865,7
170,416.0,0.0,416,416,2.447058823529412,32,32,32,686.0,0.0,686,686,4.035294117647059,2.4019607843137254,7
171,384.0,0.0,384,384,2.245614035087719,32,32,32,690.0,0.0,690,690,4.035087719298246,2.401837928153718,7
172,416.0,0.0,416,416,2.4186046511627906,32,32,32,694.0,0.0,694,694,4.034883720930233,2.40171650055371,7
173,416.0,0.0,416,416,2.4046242774566475,32,32,32,698.0,0.0,698,698,4.034682080924855,2.4015964767409854,7
174,416.0,0.0,416,416,2.3908045977011496,32,32,32,702.0,0.0,702,702,4.0344827586206895,2.401477832512315,7
175,416.0,0.0,416,416,2.3771428571428572,32,32,32,706.0,0.0,706,706,4.034285714285715,2.4013605442176873,7
176,416.0,0.0,416,416,2.3636363636363638,32,32,32,710.0,0.0,710,710,4.034090909090909,2.401244588744589,7
177,416.0,0.0,416,416,2.3502824858757063,32,32,32,714.0,0.0,714,714,4.033898305084746,2.401129943502825,7
178,416.0,0.0,416,416,2.337078651685393,32,32,32,718.0,0.0,718,718,4.033707865168539,2.401016586409845,7
179,448.0,0.0,448,448,2.5027932960893855,32,32,32,722.0,0.0,722,722,4.033519553072626,2.400904495876563,7
180,448.0,0.0,448,448,2.488888888888889,32,32,32,726.0,0.0,726,726,4.033333333333333,2.4007936507936507,7
181,416.0,0.0,416,416,2.298342541436464,32,32,32,730.0,0.0,730,730,4.033149171270718,2.400684030518285,7
182,448.0,0.0,448,448,2.4615384615384617,32,32,32,734.0,0.0,734,734,4.032967032967033,2.400575614861329,7
183,448.0,0.0,448,448,2.448087431693989,32,32,32,738.0,0.0,738,738,4.032786885245901,2.4004683840749412,7
184,448.0,0.0,448,448,2.4347826086956523,32,32,32,742.0,0.0,742,742,4.032608695652174,2.4003623188405796,7
185,448.0,0.0,448,448,2.4216216216216218,32,32,32,746.0,0.0,746,746,4.032432432432432,2.4002574002574,7
186,448.0,0.0,448,448,2.4086021505376345,32,32,32,750.0,0.0,750,750,4.032258064516129,2.400153609831029,7
187,448.0,0.0,448,448,2.3957219251336896,32,32,32,754.0,0.0,754,754,4.032085561497326,2.400050929462694,7
188,448.0,0.0,448,448,2.382978723404255,32,32,32,758.0,0.0,758,758,4.031914893617022,2.3999493414387034,7
189,448.0,0.0,448,448,2.3703703703703702,32,32,32,762.0,0.0,762,762,4.031746031746032,2.399848828420257,7
190,480.0,0.0,480,480,2.526315789473684,32,32,32,766.0,0.0,766,766,4.031578947368421,2.3997493734335835,7
191,448.0,0.0,448,448,2.345549738219895,32,32,32,770.0,0.0,770,770,4.031413612565445,2.399650959860384,7
192,480.0,0.0,480,480,2.5,32,32,32,774.0,0.0,774,774,4.03125,2.3995535714285716,7
193,480.0,0.0,480,480,2.4870466321243523,32,32,32,778.0,0.0,778,778,4.0310880829015545,2.399457192203306,7
194,480.0,0.0,480,480,2.4742268041237114,32,32,32,782.0,0.0,782,782,4.030927835051546,2.3993618065783013,7
195,448.0,0.0,448,448,2.2974358974358973,32,32,32,786.0,0.0,786,786,4.030769230769231,2.399267399267399,7
196,448.0,0.0,448,448,2.2857142857142856,32,32,32,790.0,0.0,790,790,4.030612244897959,2.3991739552964044,7
197,448.0,0.0,448,448,2.2741116751269037,32,32,32,794.0,0.0,794,794,4.030456852791878,2.3990814599951653,7
198,480.0,0.0,480,480,2.4242424242424243,32,32,32,798.0,0.0,798,798,4.03030303030303,2.398989898989899,7
199,480.0,0.0,480,480,2.4120603015075375,32,32,32,802.0,0.0,802,802,4.030150753768845,2.398899258195741,7
200,512.0,0.0,512,512,2.56,32,32,32,806.0,0.0,806,806,4.03,2.3988095238095237,7
201,480.0,0.0,480,480,2.388059701492537,32,32,32,810.0,0.0,810,810,4.029850746268656,2.3987206823027716,7
202,480.0,0.0,480,480,2.376237623762376,32,32,32,814.0,0.0,814,814,4.02970297029703,2.3986327204148985,7
203,480.0,0.0,480,480,2.3645320197044337,32,32,32,818.0,0.0,818,818,4.029556650246305,2.3985456251466104,7
204,480.0,0.0,480,480,2.3529411764705883,32,32,32,822.0,0.0,822,822,4.029411764705882,2.3984593837535013,7
205,512.0,0.0,512,512,2.497560975609756,32,32,32,826.0,0.0,826,826,4.029268292682927,2.3983739837398375,7
206,480.0,0.0,480,480,2.3300970873786406,32,32,32,830.0,0.0,830,830,4.029126213592233,2.39828941285252,7
207,512.0,0.0,512,512,2.473429951690821,32,32,32,834.0,0.0,834,834,4.028985507246377,2.3982056590752245,7
208,512.0,0.0,512,512,2.4615384615384617,32,32,32,838.0,0.0,838,838,4.028846153846154,2.3981227106227108,7
209,512.0,0.0,512,512,2.449760765550239,32,32,32,842.0,0.0,842,842,4.028708133971292,2.398040555935293,7
210,512.0,0.0,512,512,2.4380952380952383,32,32,32,846.0,0.0,846,846,4.0285714285714285,2.3979591836734695,7
211,512.0,0.0,512,512,2.4265402843601898,32,32,32,850.0,0.0,850,850,4.028436018957346,2.397878582712706,7
212,512.0,0.0,512,512,2.4150943396226414,32,32,32,854.0,0.0,854,854,4.028301886792453,2.397798742138365,7
213,512.0,0.0,512,512,2.403755868544601,32,32,32,858.0,0.0,858,858,4.028169014084507,2.397719651240778,7
214,544.0,0.0,544,544,2.542056074766355,32,32,32,862.0,0.0,862,862,4.02803738317757,2.3976412995104583,7
215,544.0,0.0,544,544,2.530232558139535,32,32,32,866.0,0.0,866,866,4.027906976744186,2.397563676633444,7
216,512.0,0.0,512,512,2.3703703703703702,32,32,32,870.0,0.0,870,870,4.027777777777778,2.3974867724867726,7
217,512.0,0.0,512,512,2.359447004608295,32,32,32,874.0,0.0,874,874,4.027649769585254,2.3974105771340795,7
218,512.0,0.0,512,512,2.3486238532110093,32,32,32,878.0,0.0,878,878,4.027522935779817,2.3973350808213194,7
219,544.0,0.0,544,544,2.4840182648401825,32,32,32,882.0,0.0,882,882,4.027397260273973,2.397260273972603,7
220,512.0,0.0,512,512,2.327272727272727,32,32,32,886.0,0.0,886,886,4.027272727272727,2.3971861471861473,7
